"CLient_nbr"|"Client_name"|"Site_Id"|"Site_Type"|"Address"|"City"|"State"|"Zipcode"|"Region"|"Country_cd"|"FTE_HC_at_Location"|"Contingent_HC_at_Location"|"Number_of_Desks"|"Average_Attendance"|"Security_Type"
"200813"|"Disney Studios"|"7929"|"Theatres"|"P.O. BOX 2077            "|"HUMBOLDT       "|"SK "|"S0A 2A0"|""|"CANA"|""|""|""|""|""
"200813"|"Disney Studios"|"9161"|"Theatres"|"185 TOWNSEND AVE.        "|"BOOTHBAY HARBOR"|"ME "|"04538"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"17388"|"Theatres"|"2072 SAM RITTENBERG BLVD."|"CHARLESTON     "|"SC "|"29417"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"8106"|"Theatres"|"2236 QUEEN ST. E.        "|"TORONTO        "|"ON "|"M4E 1G2"|""|"CANA"|""|""|""|""|""
"200813"|"Disney Studios"|"2132"|"Theatres"|"8 W DE LA GUERRA PL      "|"SANTA BARBARA  "|"CA "|"93101"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"8572"|"Theatres"|"DICK GEITNER             "|"ANGOLA         "|"NY "|"14006"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"15475"|"Theatres"|"12575 ELM CREEK ROAD     "|"MAPLE GROVE    "|"MN "|"55369"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"6736"|"Theatres"|"6 BYNG AVE.              "|"KAPUSKASING    "|"ON "|"P5N 1W3"|""|"CANA"|""|""|""|""|""
"200813"|"Disney Studios"|"14974"|"Theatres"|"NORTH 507 HOWARD ST      "|"SPOKANE        "|"WA "|"99201"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"12284"|"Theatres"|"FAM, PAT STRINGER        "|"SAN ANGELO     "|"TX "|"769083515"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"3823"|"Theatres"|"P.O. BOX 273             "|"TRYON          "|"NC "|"28782"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"8160"|"Theatres"|"1109 S. MAIN ST          "|"MILAN          "|"TN "|"38358"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"3100"|"Theatres"|"800 ROUTE 73 NORTH       "|"MARLTON        "|"NJ "|"08053"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"9848"|"Theatres"|"4020 MARLTON AVE         "|"LOS ANGELES    "|"CA "|"90008"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"5535"|"Theatres"|"214 E. 161ST             "|"BRONX          "|"NY "|"10451"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"15724"|"Theatres"|"SHELLYN POOLE            "|"JACKSONVILLE   "|"FL "|"32256"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"14588"|"Theatres"|"145 PASEO DEL PUEBLO NORT"|"TAOS           "|"NM "|"87571"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"13991"|"Theatres"|"87 NEWNAN STATION DRIVE  "|"NEWNAN         "|"GA "|"30271"|""|"USA "|""|""|""|""|""
"1"|"Teradata"|"GA0560-1"|"Office"|"2004 North Commerce Drive"|"PEACHTREE CITY"|"GEORGIA"|"30269"|"AMERICAS"|"USA"|"12"|"1"|"15"|"3"|"Card/Gaurd"
"200813"|"Disney Studios"|"16857"|"Theatres"|"10070 SAN PABLO AVE.     "|"EL CERRITO     "|"CA "|"94530"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"3460"|"Theatres"|"(MAIL:RHYAN)             "|"ANTIOCH        "|"IL "|"60002"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"9126"|"Theatres"|"6 PRINCESS ST WEST       "|"WATERLOO       "|"ON "|"N2L 2X8"|""|"CANA"|""|""|""|""|""
"200813"|"Disney Studios"|"17109"|"Theatres"|"3760 PRINCETON LAKES PKWY"|"ATLANTA        "|"GA "|"30331"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"4148"|"Theatres"|"E HWY 160 @ JCT 264,     "|"TUBA CITY      "|"AZ "|"86045"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"15433"|"Theatres"|"C/0 CINE CLUB OTTAWA     "|"OTTAWA         "|"ON "|"K2P 1A1"|""|"CANA"|""|""|""|""|""
"200813"|"Disney Studios"|"11170"|"Theatres"|"                         "|"SAN FRANCISCO  "|"CA "|"94102"|""|"USA "|""|""|""|""|""
"1"|"Teradata"|"AU0218-1"|"Office"|"574 St Kilda Road"|"MELBOURNE"|"VIC"|""|"ASIA PAC"|"AUS"|"25"|"0"|"30"|"13"|"Card/Gaurd"
"200813"|"Disney Studios"|"12829"|"Theatres"|"                         "|"NEW YORK       "|"NY "|"10001"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"17845"|"Theatres"|"ATTN:  GREG MALONEY      "|"SAN RAFAEL     "|"CA "|"94901"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"16832"|"Theatres"|"12884 CITY CENTER BLVD.  "|"JACKSONVILLE   "|"FL "|"32218"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"4681"|"Theatres"|"PRAIRIE CITY CINEMA 5    "|"PORTAGE LA PRAI"|"MB "|"R1N 3K3"|""|"CANA"|""|""|""|""|""
"200813"|"Disney Studios"|"3649"|"Theatres"|"127 SOUTH FLORIDA AVENUE "|"LAKELAND       "|"FL "|"33801"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"7153"|"Theatres"|"420 MAIN ST W, PO BOX 348"|"ASHLAND        "|"WI "|"54806"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"16458"|"Theatres"|"200 C STREET             "|"PETALUMA       "|"CA "|"94975"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"17809"|"Theatres"|"C/O DAN DANIELS DIST.CENT"|"DALLAS         "|"TX "|"75266-0202"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"17654"|"Theatres"|"ATT: CHRIS CURRAN-DORSANO"|"N VANCOUVER    "|"BC "|"VJ7 3H5"|""|"CANA"|""|""|""|""|""
"200813"|"Disney Studios"|"12545"|"Theatres"|"174 NORTE-DAME           "|"HULL           "|"QC "|"J8X 3T4"|""|"CANA"|""|""|""|""|""
"200813"|"Disney Studios"|"16020"|"Theatres"|"3220 23RD AVENUE         "|"COUNCIL BLUFFS "|"IA "|"51503"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"17732"|"Theatres"|"2315 N. FEDERAL HWY.     "|"POMPANO BEACH  "|"FL "|"33062"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"3933"|"Theatres"|"10401-015 U.S. HWY 441 S."|"LEESBURG       "|"FL "|"34788"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"1071"|"Theatres"|"215 S. KICKAPOO          "|"LINCOLN        "|"IL "|"62656"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"16355"|"Theatres"|"EMILY                    "|"BEVERLY HILLS  "|"CA "|"90210"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"17653"|"Theatres"|"1050 POWDER SPRINGS ST.  "|"MARIETTA       "|"GA "|"30064"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"9979"|"Theatres"|"910 STATE HWY. 114 WEST  "|"GRAPEVINE      "|"TX "|"76051"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"1216"|"Theatres"|"6009 - 244TH ST.         "|"MOUNTLAKE TER  "|"WA "|"98043"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"6402"|"Theatres"|"981 MAIN ST              "|"FORSYTH        "|"MT "|"59327"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"1041094"|"Theatres"|"206 CALLE ROSARIO        "|"SAN JUAN       "|"PR "|"00911"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"15580"|"Theatres"|"1080 N. GERMANTOWN PKY.  "|"CORDOVA        "|"TN "|"38018"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"6951"|"Theatres"|"2571 N. CARSON ST.       "|"CARSON CITY    "|"NV "|"89706"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"2289"|"Theatres"|"5520 S 56TH ST           "|"LINCOLN        "|"NE "|"68516"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"17625"|"Theatres"|"27001 US HWY 19N         "|"CLEARWATER     "|"FL "|"33761"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"1320"|"Theatres"|"PETER CLAYTON            "|"OGUNQUIT       "|"ME "|"03907"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"17585"|"Theatres"|"105 N. MAIN ST.          "|"PANGUITCH      "|"UT "|"84759"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"4640"|"Theatres"|"6601 E PACIFIC COAST HWY "|"LONG BEACH     "|"CA "|"90803"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"4631"|"Theatres"|"831 AVE G"              ""|"FORT MADISON   "|"IA "|"52627"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"16429"|"Theatres"|"455 E. AIRPORT HWY.      "|"WAUSEON        "|"OH "|"43567"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"10557"|"Theatres"|"                         "|"LA JOLLA       "|"CA "|"92037"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"1042"|"Theatres"|"3474 ELTON RD.           "|"JOHNSTOWN      "|"PA "|"15904"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"5010"|"Theatres"|"157 RUE CLAIRE           "|"ST-JEAN        "|"QC "|"J2W 3C8"|""|"CANA"|""|""|""|""|""
"200813"|"Disney Studios"|"13843"|"Theatres"|"771 GOLFLINKS RD         "|"ANCASTER       "|"ON "|"L9G 3T9"|""|"CANA"|""|""|""|""|""
"200813"|"Disney Studios"|"10265"|"Theatres"|"AGE(CINE-CAMPUS)         "|"GATINEAU       "|"QC "|"J8X 3X7"|""|"CANA"|""|""|""|""|""
"200813"|"Disney Studios"|"16326"|"Theatres"|"403 - 19800 LOUGHEED HWY "|"PITT MEADOWS   "|"BC "|"V3Y 2W1"|""|"CANA"|""|""|""|""|""
"200813"|"Disney Studios"|"15464"|"Theatres"|"CINEMAS                  "|"MONTREAL       "|"QC "|"H3H 1N2"|""|"CANA"|""|""|""|""|""
"200813"|"Disney Studios"|"15990"|"Theatres"|"14231 137TH AVE. NW      "|"EDMONTON       "|"AB "|"T5L 5E8"|""|"CANA"|""|""|""|""|""
"200813"|"Disney Studios"|"15521"|"Theatres"|"300 COUNTY ROAD 265      "|"CENTRE         "|"AL "|"35960"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"5469"|"Theatres"|"360-394 SPRINGFIELD AVE. "|"NEWARK         "|"NJ "|"07103"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"136"|"Theatres"|"1710 BRIARGATE BLVD #15  "|"COLORADO SPGS  "|"CO "|"80920"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"4161"|"Theatres"|"1311 ADAMS AVE           "|"LA GRANDE      "|"OR "|"97850"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"15428"|"Theatres"|"7200 US HIGHWAY 19N      "|"PINELLAS PARK  "|"FL "|"33781"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"13701"|"Theatres"|"4204 BOUL.BERTRAND-FAB 06"|"ROCK FOREST    "|"QC "|"J1N 3Y2"|""|"CANA"|""|""|""|""|""
"200813"|"Disney Studios"|"1790"|"Theatres"|"P.O. BOX 55              "|"GENEVA         "|"NE "|"68361"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"9098"|"Theatres"|"6355 BELLINGHAM AVE.     "|"NORTH HOLLYWOOD"|"CA "|"91606"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"14736"|"Theatres"|"3601 EAST BROADWAY       "|"TUCSON         "|"AZ "|"85716"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"561"|"Theatres"|"2589 N DOWNER AVENUE     "|"MILWAUKEE      "|"WI "|"53211"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"10949"|"Theatres"|"PATTY RODDY              "|"GROTON         "|"CT "|"063495014"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"18422"|"Theatres"|"690 MAIN STREET SOUTH    "|"SOUTHBURY      "|"CT "|"06488"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"9541"|"Theatres"|"990 STUYVESANT AVE       "|"UNION          "|"NJ "|"07083"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"5930"|"Theatres"|"117 SHARON RD/MALLVIEWPLZ"|"WATERBURY      "|"CT "|"06705"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"186"|"Theatres"|"816 MANUEL ST            "|"CHANDLER       "|"OK "|"74834"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"13376"|"Theatres"|"6701 NW 7TH ST   #145    "|"MIAMI          "|"FL "|"33126"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"3214"|"Theatres"|"MANAGER                  "|"ATLANTA        "|"GA "|"30328"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"9054"|"Theatres"|"1457 LOS ANGELES AVE     "|"SIMI VALLEY    "|"CA "|"93065"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"18058"|"Theatres"|"600 NORTH MILL RD        "|"VINEYARD       "|"UT "|"84058"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"8772"|"Theatres"|"120 COUNTRY CLUB DR. NE  "|"CONCORD        "|"NC "|"28025"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"16722"|"Theatres"|"3420 VISTA DR.           "|"ROSENBERG      "|"TX "|"77471"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"13382"|"Theatres"|"2415 N MONROE ST         "|"TALLAHASSEE    "|"FL "|"32303"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"4997"|"Theatres"|"1071 CHEMIN DU COTEAU    "|"TERREBONNE     "|"QC "|"J6W 5L5"|""|"CANA"|""|""|""|""|""
"200813"|"Disney Studios"|"1033692"|"Theatres"|"6450 N DESERT BLVD       "|"EL PASO        "|"TX "|"79912"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"8623"|"Theatres"|"48 S WASHINGTON STREET   "|"OXFORD         "|"MI "|"48371"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"12115"|"Theatres"|"                         "|"ENID           "|"OK "|"73703"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"9699"|"Theatres"|"2715 GAULT AVE. N.       "|"FORT PAYNE     "|"AL "|"35967"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"15883"|"Theatres"|"646 HIGHWAY 46 SOUTH     "|"DICKSON        "|"TN "|"37055"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"14646"|"Theatres"|"575 VANN DRIVE           "|"JACKSON        "|"TN "|"38305"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"13644"|"Theatres"|"4901 PAN AMERICAN HWY NE "|"ALBUQUERQUE    "|"NM "|"87109"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"17674"|"Theatres"|"500 S. BUENA VISTA ST    "|"BURBANK        "|"CA "|"91521"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"13752"|"Theatres"|"9555 DIAMOND CNTR        "|"MENTOR         "|"OH "|"44060"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"9684"|"Theatres"|"2100 BROADWAY            "|"YANKTON        "|"SD "|"57078"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"16394"|"Theatres"|"350 SOUTH RIVERSIDE DR.  "|"SAUKVILLE      "|"WI "|"53080"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"10777"|"Theatres"|"LENNIE JENSEN/VISTAFJORD "|"SECAUCUS       "|"NJ "|"07094"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"9647"|"Theatres"|"452 MAIN ST              "|"DELTA          "|"CO "|"81416"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"4634"|"Theatres"|"MR. JOHN BERRY           "|"RESTON         "|"MB "|"R0M 1X0"|""|"CANA"|""|""|""|""|""
"1"|"Teradata"|"IT0467"|"Office"|"Via Tempio del Cielo 1/3/5"|"ROME"|"-"|""|"EMEA"|"ITA"|"31"|"2"|"12"|"8"|"Card/Gaurd"
"200813"|"Disney Studios"|"16348"|"Theatres"|"300 HARBOR DRIVE         "|"DULUTH         "|"MN "|"55802"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"6399"|"Theatres"|"1977 ROUTE 161           "|"LAC MEGANTIC   "|"QC "|"G6B 2S1"|""|"CANA"|""|""|""|""|""
"200813"|"Disney Studios"|"14691"|"Theatres"|"COLLEGE PT CORPORATE PARK"|"WHITESTONE     "|"NY "|"11357"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"17851"|"Theatres"|"1132 HAMILTON ST         "|"VANCOUVER      "|"BC "|"V6B 2S2"|""|"CANA"|""|""|""|""|""
"200813"|"Disney Studios"|"10674"|"Theatres"|"109 E.AURORA             "|"IRONWOOD       "|"MI "|"49938"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"4737"|"Theatres"|"P.O. BOX 317             "|"PRAIRE DU CHIEN"|"WI "|"53821"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"418"|"Theatres"|"BOX 1507, 5023-51 AVE.   "|"WHITECOURT     "|"AB "|"T7S 1P3"|""|"CANA"|""|""|""|""|""
"1"|"Teradata"|"NL2015"|"Office"|"John M. Keynesplein 1-27"|"AMSTERDAM"|"-"|""|"EMEA"|"NLD"|"33"|"0"|"32"|"10"|"Card/Gaurd"
"200813"|"Disney Studios"|"18330"|"Theatres"|"701 SOUTH MIAMI AVE WEST "|"MIAMI          "|"FL "|"33131"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"1033994"|"Theatres"|"UNIVERSITY OF NORTH TEXAS"|"DENTON         "|"TX "|"76203"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"17021"|"Theatres"|"10850 W. PICO BLVD.      "|"LOS ANGELES    "|"CA "|"90064"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"16372"|"Theatres"|"10 FIRST AVE. SOUTHWEST  "|"COLD SPRINGS   "|"MN "|"56320"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"17785"|"Theatres"|"C/O DAN DANIELS DIST.CENT"|"DALLAS         "|"TX "|"75266-0202"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"8913"|"Theatres"|"2442 BLOOR STREET WEST   "|"TORONTO        "|"ON "|"M6S 1R1"|""|"CANA"|""|""|""|""|""
"200813"|"Disney Studios"|"18451"|"Theatres"|"729 HWY 20               "|"WINTHROP       "|"WA "|"98862"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"5237"|"Theatres"|"507 MAIN AVENUE          "|"OAKES          "|"ND "|"58474"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"18198"|"Theatres"|"3501 S TAMIAMI TRAIL     "|"SARASOTA       "|"FL "|"34239"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"17221"|"Theatres"|"110 CLIFTON DRIVE        "|"VALDEZ         "|"AK "|"99686"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"17030"|"Theatres"|"2351 KIESEL AVE.         "|"OGDEN          "|"UT "|"84401"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"1672"|"Theatres"|"231 W JEFFERSON          "|"DALLAS         "|"TX "|"75208"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"16462"|"Theatres"|"48 E. ANTRIM DR.         "|"GREENVILLE     "|"SC "|"29607"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"8838"|"Theatres"|"607 MCEWAN               "|"CLARE          "|"MI "|"48617"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"11802"|"Theatres"|"KATHY THESLER            "|"WATERTOWN      "|"NY "|"13602"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"3676"|"Theatres"|"208 S BROAD ST           "|"EDENTON        "|"NC "|"27932"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"11482"|"Theatres"|"SHARON HRIBERNICK/REC DPT"|"OJAI           "|"CA "|"93023"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"14579"|"Theatres"|"9615-A METRO PARKWAY WEST"|"PHOENIX        "|"AZ "|"85051"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"16391"|"Theatres"|"C/OREGAL CROW CYN/T.HOOEY"|"SAN RAMON      "|"CA "|"94583"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"15131"|"Theatres"|"EAST MALL DRIVE          "|"FREEPORT       "|"BS "|"BAHAMAS"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"10386"|"Theatres"|"124 N. MECHANIC ST       "|"JACKSON        "|"MI "|"49201"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"13963"|"Theatres"|"DAVID RODRIGUEZ          "|"MIAMI          "|"FL "|"33172"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"1033589"|"Theatres"|"100 RIVER MARKET AVE.    "|"LITTLE ROCK    "|"AR "|"72201"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"13860"|"Theatres"|"1025 WOODRUFF RD         "|"GREENVILLE     "|"SC "|"29607"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"14242"|"Theatres"|"1453 MELNITZ HALL - EIJA "|"LOS ANGELES    "|"CA "|"90024"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"13117"|"Theatres"|"MUSEUM OF PHOTOGRAPHY    "|"RIVERSIDE      "|"CA "|"92501"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"1717"|"Theatres"|"4211 WAIALAE AVE         "|"HONOLULU       "|"HI "|"96816"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"11102"|"Theatres"|"REC.DEPT./LARRY JACOBSEN "|"LEWISBURG      "|"PA "|"17837"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"14597"|"Theatres"|"350 FAIRVIEW AVENUE      "|"HUDSON         "|"NY "|"12534"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"18205"|"Theatres"|"9998 CROSSING WAY        "|"DENHAM SPRINGS "|"LA "|"70726"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"12227"|"Theatres"|"C/O WILLIAMS DIMOND      "|"LONG BEACH     "|"CA "|"90802"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"11334"|"Theatres"|"ELVEN WEBB/ALTERNATIV.CIN"|"LOGAN          "|"UT "|"84322"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"2989"|"Theatres"|"219 W MAIN ST            "|"LEWISTOWN      "|"MT "|"59457"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"13572"|"Theatres"|"12657 OLIVE ST           "|"SAINT LOUIS    "|"MO "|"63141"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"9022"|"Theatres"|"890 NORTH STREET 13      "|"WABASH         "|"IN "|"46992"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"3961"|"Theatres"|"5243 S. FALLSBURG MAIN ST"|"SOUTH FALLSBURG"|"NY "|"12779"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"13417"|"Theatres"|"4711 CAMERON VALLEY PKY  "|"CHARLOTTE      "|"NC "|"28210"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"8315"|"Theatres"|"P.O. BOX 1298            "|"FERNIE         "|"BC "|"V0B 1M0"|""|"CANA"|""|""|""|""|""
"200813"|"Disney Studios"|"1032525"|"Theatres"|"110 LEROY STREET         "|"NEW YORK       "|"NY "|"10014"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"9631"|"Theatres"|"BOX 77, 219 6TH ST       "|"BROOKINGS      "|"SD "|"57006"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"8365"|"Theatres"|"JOHN D. LYONS            "|"HANOVER        "|"ON "|"N4N 1N7"|""|"CANA"|""|""|""|""|""
"200813"|"Disney Studios"|"8687"|"Theatres"|"118 EAST NORTH STREET    "|"MARSHALL       "|"MO "|"65340"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"4163"|"Theatres"|"26463 YNEZ ROAD, # 22    "|"TEMECULA       "|"CA "|"92591"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"9894"|"Theatres"|"710 HWY. 6265 SOUTH      "|"HARRISON       "|"AR "|"72601"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"3272"|"Theatres"|"2900 VINE ST             "|"HAYS           "|"KS "|"67601"|""|"USA "|""|""|""|""|""
"200813"|"Disney Studios"|"13167"|"Theatres"|"92 2IEME RUE OUEST       "|"RIMOUSKI       "|"QC "|"G5L 8B3"|""|"CANA"|""|""|""|""|""
