"ROW_KEY"|"DOMAIN_NAME"|"SUBDOMAIN_1_NAME"|"SUBDOMAIN_2_NAME"|"SUBDOMAIN_3_NAME"|"PERIOD_MMM-YYYY"|"METRIC_NAME"|"METRIC_INDEX"|"METRIC_VALUE"|"DATA_SOURCE_NAME"|"DATA_SOURCE_DESC"
"1"|"Personal consumption expenditures - Goods & Services"|"Total"|"Total"|"Total"|"Jun-2000"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"6743905"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"21"|"Services"|"Household consumption expenditures (for services)"|"Other services"|"Total"|"Jun-2010"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"870308"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"1"|"Personal consumption expenditures - Goods & Services"|"Total"|"Total"|"Total"|"Jul-2000"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"6764050"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"21"|"Services"|"Household consumption expenditures (for services)"|"Other services"|"Total"|"Jul-2010"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"873197"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"1"|"Personal consumption expenditures - Goods & Services"|"Total"|"Total"|"Total"|"Aug-2000"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"6799136"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"21"|"Services"|"Household consumption expenditures (for services)"|"Other services"|"Total"|"Aug-2010"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"875321"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"1"|"Personal consumption expenditures - Goods & Services"|"Total"|"Total"|"Total"|"Sep-2000"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"6882921"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"21"|"Services"|"Household consumption expenditures (for services)"|"Other services"|"Total"|"Sep-2010"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"875827"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"1"|"Personal consumption expenditures - Goods & Services"|"Total"|"Total"|"Total"|"Oct-2000"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"6888220"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"21"|"Services"|"Household consumption expenditures (for services)"|"Other services"|"Total"|"Oct-2010"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"873416"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"1"|"Personal consumption expenditures - Goods & Services"|"Total"|"Total"|"Total"|"Nov-2000"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"6902365"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"21"|"Services"|"Household consumption expenditures (for services)"|"Other services"|"Total"|"Nov-2010"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"875495"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"1"|"Personal consumption expenditures - Goods & Services"|"Total"|"Total"|"Total"|"Dec-2000"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"6945699"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"21"|"Services"|"Household consumption expenditures (for services)"|"Other services"|"Total"|"Dec-2010"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"875797"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"1"|"Personal consumption expenditures - Goods & Services"|"Total"|"Total"|"Total"|"Jan-2001"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"6976988"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"21"|"Services"|"Household consumption expenditures (for services)"|"Other services"|"Total"|"Jan-2011"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"882132"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"1"|"Personal consumption expenditures - Goods & Services"|"Total"|"Total"|"Total"|"Feb-2001"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"6995817"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"21"|"Services"|"Household consumption expenditures (for services)"|"Other services"|"Total"|"Feb-2011"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"889452"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"1"|"Personal consumption expenditures - Goods & Services"|"Total"|"Total"|"Total"|"Mar-2001"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"6987862"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"21"|"Services"|"Household consumption expenditures (for services)"|"Other services"|"Total"|"Mar-2011"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"890367"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"1"|"Personal consumption expenditures - Goods & Services"|"Total"|"Total"|"Total"|"Apr-2001"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"7001188"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"21"|"Services"|"Household consumption expenditures (for services)"|"Other services"|"Total"|"Apr-2011"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"892585"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"1"|"Personal consumption expenditures - Goods & Services"|"Total"|"Total"|"Total"|"May-2001"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"7047124"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"21"|"Services"|"Household consumption expenditures (for services)"|"Other services"|"Total"|"May-2011"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"894035"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"1"|"Personal consumption expenditures - Goods & Services"|"Total"|"Total"|"Total"|"Jun-2001"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"7060699"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"21"|"Services"|"Household consumption expenditures (for services)"|"Other services"|"Total"|"Jun-2011"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"891443"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"1"|"Personal consumption expenditures - Goods & Services"|"Total"|"Total"|"Total"|"Jul-2001"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"7072211"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"21"|"Services"|"Household consumption expenditures (for services)"|"Other services"|"Total"|"Jul-2011"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"892044"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"1"|"Personal consumption expenditures - Goods & Services"|"Total"|"Total"|"Total"|"Aug-2001"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"7108913"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"21"|"Services"|"Household consumption expenditures (for services)"|"Other services"|"Total"|"Aug-2011"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"893870"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"1"|"Personal consumption expenditures - Goods & Services"|"Total"|"Total"|"Total"|"Sep-2001"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"7012842"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"21"|"Services"|"Household consumption expenditures (for services)"|"Other services"|"Total"|"Sep-2011"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"897738"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"1"|"Personal consumption expenditures - Goods & Services"|"Total"|"Total"|"Total"|"Oct-2001"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"7208437"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"21"|"Services"|"Household consumption expenditures (for services)"|"Other services"|"Total"|"Oct-2011"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"895783"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"1"|"Personal consumption expenditures - Goods & Services"|"Total"|"Total"|"Total"|"Nov-2001"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"7167881"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"21"|"Services"|"Household consumption expenditures (for services)"|"Other services"|"Total"|"Nov-2011"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"898416"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"1"|"Personal consumption expenditures - Goods & Services"|"Total"|"Total"|"Total"|"Dec-2001"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"7147650"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"21"|"Services"|"Household consumption expenditures (for services)"|"Other services"|"Total"|"Dec-2011"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"901737"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"1"|"Personal consumption expenditures - Goods & Services"|"Total"|"Total"|"Total"|"Jan-2002"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"7174314"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"21"|"Services"|"Household consumption expenditures (for services)"|"Other services"|"Total"|"Jan-2012"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"916189"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"1"|"Personal consumption expenditures - Goods & Services"|"Total"|"Total"|"Total"|"Feb-2002"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"7218304"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"21"|"Services"|"Household consumption expenditures (for services)"|"Other services"|"Total"|"Feb-2012"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"919442"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"1"|"Personal consumption expenditures - Goods & Services"|"Total"|"Total"|"Total"|"Mar-2002"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"7237202"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"21"|"Services"|"Household consumption expenditures (for services)"|"Other services"|"Total"|"Mar-2012"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"916136"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"1"|"Personal consumption expenditures - Goods & Services"|"Total"|"Total"|"Total"|"Apr-2002"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"7305402"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"21"|"Services"|"Household consumption expenditures (for services)"|"Other services"|"Total"|"Apr-2012"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"910745"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"1"|"Personal consumption expenditures - Goods & Services"|"Total"|"Total"|"Total"|"May-2002"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"7282747"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"21"|"Services"|"Household consumption expenditures (for services)"|"Other services"|"Total"|"May-2012"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"910338"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"1"|"Personal consumption expenditures - Goods & Services"|"Total"|"Total"|"Total"|"Jun-2002"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"7318187"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"21"|"Services"|"Household consumption expenditures (for services)"|"Other services"|"Total"|"Jun-2012"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"905937"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"1"|"Personal consumption expenditures - Goods & Services"|"Total"|"Total"|"Total"|"Jul-2002"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"7380387"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"21"|"Services"|"Household consumption expenditures (for services)"|"Other services"|"Total"|"Jul-2012"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"908560"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"1"|"Personal consumption expenditures - Goods & Services"|"Total"|"Total"|"Total"|"Aug-2002"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"7401492"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"21"|"Services"|"Household consumption expenditures (for services)"|"Other services"|"Total"|"Aug-2012"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"901673"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"1"|"Personal consumption expenditures - Goods & Services"|"Total"|"Total"|"Total"|"Sep-2002"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"7390951"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"21"|"Services"|"Household consumption expenditures (for services)"|"Other services"|"Total"|"Sep-2012"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"910136"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"1"|"Personal consumption expenditures - Goods & Services"|"Total"|"Total"|"Total"|"Oct-2002"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"7430718"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"21"|"Services"|"Household consumption expenditures (for services)"|"Other services"|"Total"|"Oct-2012"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"920517"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"1"|"Personal consumption expenditures - Goods & Services"|"Total"|"Total"|"Total"|"Nov-2002"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"7459683"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"21"|"Services"|"Household consumption expenditures (for services)"|"Other services"|"Total"|"Nov-2012"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"919147"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"1"|"Personal consumption expenditures - Goods & Services"|"Total"|"Total"|"Total"|"Dec-2002"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"7512847"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"21"|"Services"|"Household consumption expenditures (for services)"|"Other services"|"Total"|"Dec-2012"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"917437"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"1"|"Personal consumption expenditures - Goods & Services"|"Total"|"Total"|"Total"|"Jan-2003"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"7533055"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"21"|"Services"|"Household consumption expenditures (for services)"|"Other services"|"Total"|"Jan-2013"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"911037"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"1"|"Personal consumption expenditures - Goods & Services"|"Total"|"Total"|"Total"|"Feb-2003"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"7535904"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"21"|"Services"|"Household consumption expenditures (for services)"|"Other services"|"Total"|"Feb-2013"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"909259"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"1"|"Personal consumption expenditures - Goods & Services"|"Total"|"Total"|"Total"|"Mar-2003"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"7598376"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"21"|"Services"|"Household consumption expenditures (for services)"|"Other services"|"Total"|"Mar-2013"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"911475"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"1"|"Personal consumption expenditures - Goods & Services"|"Total"|"Total"|"Total"|"Apr-2003"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"7621027"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"21"|"Services"|"Household consumption expenditures (for services)"|"Other services"|"Total"|"Apr-2013"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"911002"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"1"|"Personal consumption expenditures - Goods & Services"|"Total"|"Total"|"Total"|"May-2003"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"7628149"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"21"|"Services"|"Household consumption expenditures (for services)"|"Other services"|"Total"|"May-2013"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"915571"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"1"|"Personal consumption expenditures - Goods & Services"|"Total"|"Total"|"Total"|"Jun-2003"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"7678625"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"21"|"Services"|"Household consumption expenditures (for services)"|"Other services"|"Total"|"Jun-2013"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"918821"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"1"|"Personal consumption expenditures - Goods & Services"|"Total"|"Total"|"Total"|"Jul-2003"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"7738232"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"21"|"Services"|"Household consumption expenditures (for services)"|"Other services"|"Total"|"Jul-2013"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"919147"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"1"|"Personal consumption expenditures - Goods & Services"|"Total"|"Total"|"Total"|"Aug-2003"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"7834537"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"21"|"Services"|"Household consumption expenditures (for services)"|"Other services"|"Total"|"Aug-2013"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"931062"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"1"|"Personal consumption expenditures - Goods & Services"|"Total"|"Total"|"Total"|"Sep-2003"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"7834950"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"21"|"Services"|"Household consumption expenditures (for services)"|"Other services"|"Total"|"Sep-2013"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"932204"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"1"|"Personal consumption expenditures - Goods & Services"|"Total"|"Total"|"Total"|"Oct-2003"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"7845661"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"21"|"Services"|"Household consumption expenditures (for services)"|"Other services"|"Total"|"Oct-2013"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"937352"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"1"|"Personal consumption expenditures - Goods & Services"|"Total"|"Total"|"Total"|"Nov-2003"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"7899583"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
"21"|"Services"|"Household consumption expenditures (for services)"|"Other services"|"Total"|"Nov-2013"|"Personal Consumption Expenditure (Goods & Services) M$"|"0"|"941717"|"Bureau of Economic Analysis - NIPA Monthly Report T2.3.5U"|"Table 2.3.5U. Personal Consumption Expenditures by Type of Product"
