ROW_KEY|"DOMAIN_NAME"|"SUBDOMAIN_1_NAME"|"SUBDOMAIN_2_NAME"|"SUBDOMAIN_3_NAME"|"SUBDOMAIN_4_NAME"|"PERIOD_MMM-YYYY"|"METRIC_NAME"|METRIC_INDEX|METRIC_VALUE|"DATA_SOURCE_NAME"|"DATA_SOURCE_DESC" 
1|"undefined"|"Total"|"Total"|"Personal consumption expenditures"|"Total"|"Jul-2018"|"Personal Consumption Expenditure (Product Details) M$"|   0|   13962625|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
1|"undefined"|"Total"|"Total"|"Personal consumption expenditures"|"Total"|"Apr-2018"|"Personal Consumption Expenditure (Product Details) M$"|   0|   13809313|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
1|"undefined"|"Total"|"Total"|"Personal consumption expenditures"|"Total"|"Dec-2020"|"Personal Consumption Expenditure (Product Details) M$"|   0|   14389504|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
1|"undefined"|"Total"|"Total"|"Personal consumption expenditures"|"Total"|"Sep-2020"|"Personal Consumption Expenditure (Product Details) M$"|   0|   14481715|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
1|"undefined"|"Total"|"Total"|"Personal consumption expenditures"|"Total"|"Apr-2019"|"Personal Consumption Expenditure (Product Details) M$"|   0|   14329324|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
1|"undefined"|"Total"|"Total"|"Personal consumption expenditures"|"Total"|"Nov-2020"|"Personal Consumption Expenditure (Product Details) M$"|   0|   14467319|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
1|"undefined"|"Total"|"Total"|"Personal consumption expenditures"|"Total"|"Oct-2019"|"Personal Consumption Expenditure (Product Details) M$"|   0|   14607869|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
1|"undefined"|"Total"|"Total"|"Personal consumption expenditures"|"Total"|"Dec-2018"|"Personal Consumption Expenditure (Product Details) M$"|   0|   14050648|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
1|"undefined"|"Total"|"Total"|"Personal consumption expenditures"|"Total"|"Sep-2018"|"Personal Consumption Expenditure (Product Details) M$"|   0|   14030651|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
1|"undefined"|"Total"|"Total"|"Personal consumption expenditures"|"Total"|"Feb-2018"|"Personal Consumption Expenditure (Product Details) M$"|   0|   13657152|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
1|"undefined"|"Total"|"Total"|"Personal consumption expenditures"|"Total"|"Jan-2021"|"Personal Consumption Expenditure (Product Details) M$"|   0|   14857874|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
1|"undefined"|"Total"|"Total"|"Personal consumption expenditures"|"Total"|"Apr-2021"|"Personal Consumption Expenditure (Product Details) M$"|   0|   15618699|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
1|"undefined"|"Total"|"Total"|"Personal consumption expenditures"|"Total"|"Dec-2019"|"Personal Consumption Expenditure (Product Details) M$"|   0|   14686347|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
1|"undefined"|"Total"|"Total"|"Personal consumption expenditures"|"Total"|"Aug-2021"|"Personal Consumption Expenditure (Product Details) M$"|   0|   15922209|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
1|"undefined"|"Total"|"Total"|"Personal consumption expenditures"|"Total"|"Feb-2019"|"Personal Consumption Expenditure (Product Details) M$"|   0|   14117853|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
1|"undefined"|"Total"|"Total"|"Personal consumption expenditures"|"Total"|"Sep-2019"|"Personal Consumption Expenditure (Product Details) M$"|   0|   14564689|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
1|"undefined"|"Total"|"Total"|"Personal consumption expenditures"|"Total"|"Jun-2020"|"Personal Consumption Expenditure (Product Details) M$"|   0|   13889342|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
1|"undefined"|"Total"|"Total"|"Personal consumption expenditures"|"Total"|"Aug-2019"|"Personal Consumption Expenditure (Product Details) M$"|   0|   14536388|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
1|"undefined"|"Total"|"Total"|"Personal consumption expenditures"|"Total"|"Mar-2018"|"Personal Consumption Expenditure (Product Details) M$"|   0|   13725037|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
1|"undefined"|"Total"|"Total"|"Personal consumption expenditures"|"Total"|"May-2021"|"Personal Consumption Expenditure (Product Details) M$"|   0|   15624413|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
1|"undefined"|"Total"|"Total"|"Personal consumption expenditures"|"Total"|"Jan-2018"|"Personal Consumption Expenditure (Product Details) M$"|   0|   13620109|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
1|"undefined"|"Total"|"Total"|"Personal consumption expenditures"|"Total"|"Jan-2019"|"Personal Consumption Expenditure (Product Details) M$"|   0|   14104416|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
1|"undefined"|"Total"|"Total"|"Personal consumption expenditures"|"Total"|"May-2018"|"Personal Consumption Expenditure (Product Details) M$"|   0|   13872098|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
1|"undefined"|"Total"|"Total"|"Personal consumption expenditures"|"Total"|"Mar-2021"|"Personal Consumption Expenditure (Product Details) M$"|   0|   15458874|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
1|"undefined"|"Total"|"Total"|"Personal consumption expenditures"|"Total"|"May-2020"|"Personal Consumption Expenditure (Product Details) M$"|   0|   13058056|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
1|"undefined"|"Total"|"Total"|"Personal consumption expenditures"|"Total"|"Mar-2019"|"Personal Consumption Expenditure (Product Details) M$"|   0|   14244388|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
1|"undefined"|"Total"|"Total"|"Personal consumption expenditures"|"Total"|"Apr-2020"|"Personal Consumption Expenditure (Product Details) M$"|   0|   12021788|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
1|"undefined"|"Total"|"Total"|"Personal consumption expenditures"|"Total"|"Oct-2018"|"Personal Consumption Expenditure (Product Details) M$"|   0|   14119580|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
1|"undefined"|"Total"|"Total"|"Personal consumption expenditures"|"Total"|"Jun-2021"|"Personal Consumption Expenditure (Product Details) M$"|   0|   15801984|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
2|"Goods"|"Total"|"Total"|"Total"|"Total"|"Jul-2019"|"Personal Consumption Expenditure (Product Details) M$"|   0|4506072|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"  
2|"Goods"|"Total"|"Total"|"Total"|"Total"|"Aug-2021"|"Personal Consumption Expenditure (Product Details) M$"|   0|5485733|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"  
2|"Goods"|"Total"|"Total"|"Total"|"Total"|"Mar-2018"|"Personal Consumption Expenditure (Product Details) M$"|   0|4300104|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"  
2|"Goods"|"Total"|"Total"|"Total"|"Total"|"Jan-2020"|"Personal Consumption Expenditure (Product Details) M$"|   0|4565457|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"  
2|"Goods"|"Total"|"Total"|"Total"|"Total"|"Jun-2020"|"Personal Consumption Expenditure (Product Details) M$"|   0|4729847|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"  
2|"Goods"|"Total"|"Total"|"Total"|"Total"|"Apr-2019"|"Personal Consumption Expenditure (Product Details) M$"|   0|4467553|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"  
2|"Goods"|"Total"|"Total"|"Total"|"Total"|"Oct-2018"|"Personal Consumption Expenditure (Product Details) M$"|   0|4409498|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"  
2|"Goods"|"Total"|"Total"|"Total"|"Total"|"Oct-2020"|"Personal Consumption Expenditure (Product Details) M$"|   0|4937152|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"  
2|"Goods"|"Total"|"Total"|"Total"|"Total"|"Mar-2019"|"Personal Consumption Expenditure (Product Details) M$"|   0|4427323|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"  
2|"Goods"|"Total"|"Total"|"Total"|"Total"|"Jun-2019"|"Personal Consumption Expenditure (Product Details) M$"|   0|4490314|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"  
2|"Goods"|"Total"|"Total"|"Total"|"Total"|"Feb-2019"|"Personal Consumption Expenditure (Product Details) M$"|   0|4356641|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"  
2|"Goods"|"Total"|"Total"|"Total"|"Total"|"May-2020"|"Personal Consumption Expenditure (Product Details) M$"|   0|4432670|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"  
2|"Goods"|"Total"|"Total"|"Total"|"Total"|"Oct-2019"|"Personal Consumption Expenditure (Product Details) M$"|   0|4529266|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"  
2|"Goods"|"Total"|"Total"|"Total"|"Total"|"Apr-2021"|"Personal Consumption Expenditure (Product Details) M$"|   0|5575989|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"  
2|"Goods"|"Total"|"Total"|"Total"|"Total"|"Jan-2021"|"Personal Consumption Expenditure (Product Details) M$"|   0|5165383|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"  
2|"Goods"|"Total"|"Total"|"Total"|"Total"|"Dec-2020"|"Personal Consumption Expenditure (Product Details) M$"|   0|4785349|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"  
2|"Goods"|"Total"|"Total"|"Total"|"Total"|"Jun-2021"|"Personal Consumption Expenditure (Product Details) M$"|   0|5538116|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"  
2|"Goods"|"Total"|"Total"|"Total"|"Total"|"Sep-2018"|"Personal Consumption Expenditure (Product Details) M$"|   0|4376540|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"  
2|"Goods"|"Total"|"Total"|"Total"|"Total"|"Mar-2021"|"Personal Consumption Expenditure (Product Details) M$"|   0|5554292|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"  
2|"Goods"|"Total"|"Total"|"Total"|"Total"|"Apr-2020"|"Personal Consumption Expenditure (Product Details) M$"|   0|3887218|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"  
2|"Goods"|"Total"|"Total"|"Total"|"Total"|"Mar-2020"|"Personal Consumption Expenditure (Product Details) M$"|   0|4472760|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"  
2|"Goods"|"Total"|"Total"|"Total"|"Total"|"Dec-2018"|"Personal Consumption Expenditure (Product Details) M$"|   0|4306182|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"  
2|"Goods"|"Total"|"Total"|"Total"|"Total"|"May-2018"|"Personal Consumption Expenditure (Product Details) M$"|   0|4377394|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"  
2|"Goods"|"Total"|"Total"|"Total"|"Total"|"Sep-2020"|"Personal Consumption Expenditure (Product Details) M$"|   0|4931329|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"  
2|"Goods"|"Total"|"Total"|"Total"|"Total"|"Sep-2019"|"Personal Consumption Expenditure (Product Details) M$"|   0|4513189|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"  
2|"Goods"|"Total"|"Total"|"Total"|"Total"|"Feb-2018"|"Personal Consumption Expenditure (Product Details) M$"|   0|4305090|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"  
2|"Goods"|"Total"|"Total"|"Total"|"Total"|"Nov-2019"|"Personal Consumption Expenditure (Product Details) M$"|   0|4547929|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"  
2|"Goods"|"Total"|"Total"|"Total"|"Total"|"Feb-2020"|"Personal Consumption Expenditure (Product Details) M$"|   0|4554587|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"  
2|"Goods"|"Total"|"Total"|"Total"|"Total"|"Jul-2021"|"Personal Consumption Expenditure (Product Details) M$"|   0|5419768|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"  
2|"Goods"|"Total"|"Total"|"Total"|"Total"|"Apr-2018"|"Personal Consumption Expenditure (Product Details) M$"|   0|4336735|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"  
2|"Goods"|"Total"|"Total"|"Total"|"Total"|"Aug-2019"|"Personal Consumption Expenditure (Product Details) M$"|   0|4518862|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"  
2|"Goods"|"Total"|"Total"|"Total"|"Total"|"Nov-2020"|"Personal Consumption Expenditure (Product Details) M$"|   0|4879252|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"  
2|"Goods"|"Total"|"Total"|"Total"|"Total"|"Nov-2018"|"Personal Consumption Expenditure (Product Details) M$"|   0|4450725|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"  
2|"Goods"|"Total"|"Total"|"Total"|"Total"|"Jan-2018"|"Personal Consumption Expenditure (Product Details) M$"|   0|4290083|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"  
2|"Goods"|"Total"|"Total"|"Total"|"Total"|"Feb-2021"|"Personal Consumption Expenditure (Product Details) M$"|   0|5015399|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"  
2|"Goods"|"Total"|"Total"|"Total"|"Total"|"May-2021"|"Personal Consumption Expenditure (Product Details) M$"|   0|5475264|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"  
2|"Goods"|"Total"|"Total"|"Total"|"Total"|"Jul-2018"|"Personal Consumption Expenditure (Product Details) M$"|   0|4366205|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"  
2|"Goods"|"Total"|"Total"|"Total"|"Total"|"May-2019"|"Personal Consumption Expenditure (Product Details) M$"|   0|4480257|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"  
2|"Goods"|"Total"|"Total"|"Total"|"Total"|"Jun-2018"|"Personal Consumption Expenditure (Product Details) M$"|   0|4349180|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"  
2|"Goods"|"Total"|"Total"|"Total"|"Total"|"Jan-2019"|"Personal Consumption Expenditure (Product Details) M$"|   0|4364456|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"  
2|"Goods"|"Total"|"Total"|"Total"|"Total"|"Aug-2020"|"Personal Consumption Expenditure (Product Details) M$"|   0|4843588|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"  
2|"Goods"|"Total"|"Total"|"Total"|"Total"|"Dec-2019"|"Personal Consumption Expenditure (Product Details) M$"|   0|4545156|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"  
2|"Goods"|"Total"|"Total"|"Total"|"Total"|"Jul-2020"|"Personal Consumption Expenditure (Product Details) M$"|   0|4826648|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"  
2|"Goods"|"Total"|"Total"|"Total"|"Total"|"Aug-2018"|"Personal Consumption Expenditure (Product Details) M$"|   0|4376856|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"  
3|"Goods"|"Durable goods"|"Total"|"Total"|"Total"|"Jun-2021"|"Personal Consumption Expenditure (Product Details) M$"|   0|2060506|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
3|"Goods"|"Durable goods"|"Total"|"Total"|"Total"|"Aug-2020"|"Personal Consumption Expenditure (Product Details) M$"|   0|1754436|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
3|"Goods"|"Durable goods"|"Total"|"Total"|"Total"|"Apr-2021"|"Personal Consumption Expenditure (Product Details) M$"|   0|2150271|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
3|"Goods"|"Durable goods"|"Total"|"Total"|"Total"|"Oct-2020"|"Personal Consumption Expenditure (Product Details) M$"|   0|1793970|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
3|"Goods"|"Durable goods"|"Total"|"Total"|"Total"|"Nov-2019"|"Personal Consumption Expenditure (Product Details) M$"|   0|1547082|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
3|"Goods"|"Durable goods"|"Total"|"Total"|"Total"|"Jun-2018"|"Personal Consumption Expenditure (Product Details) M$"|   0|1471217|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
3|"Goods"|"Durable goods"|"Total"|"Total"|"Total"|"May-2018"|"Personal Consumption Expenditure (Product Details) M$"|   0|1475791|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
3|"Goods"|"Durable goods"|"Total"|"Total"|"Total"|"Jan-2018"|"Personal Consumption Expenditure (Product Details) M$"|   0|1442386|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
3|"Goods"|"Durable goods"|"Total"|"Total"|"Total"|"Aug-2019"|"Personal Consumption Expenditure (Product Details) M$"|   0|1528430|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
3|"Goods"|"Durable goods"|"Total"|"Total"|"Total"|"Mar-2021"|"Personal Consumption Expenditure (Product Details) M$"|   0|2123984|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
3|"Goods"|"Durable goods"|"Total"|"Total"|"Total"|"Dec-2019"|"Personal Consumption Expenditure (Product Details) M$"|   0|1540588|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
3|"Goods"|"Durable goods"|"Total"|"Total"|"Total"|"Oct-2019"|"Personal Consumption Expenditure (Product Details) M$"|   0|1529879|"Bureau of Economic Analysis - NIPA Monthly Report T2.4.5U"|"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
